spu,ASIN,status,keywords,traffic_ratio,monthly_search_volume,images
8098090,B0G78JDGLV,否,,,,[]
8098117,B0CH53KWP3,否,,,,[]
8098118,B0GF8HP1ST,否,,,,[]
8098119,B0GDFXB6KB,否,,,,[]
8098120,B0FX2RRHY2,否,,,,[]
8098121,B0DRNL7Y7M,否,,,,[]
8098128,B0CZDWP6PZ,否,,,,[]
8098129,B0FHXWDXYM,否,,,,[]
8098132,B0GK6Z3PY1,否,,,,[]
8098133,B0D45DH742,否,,,,[]
8098134,B0GC97T7QN,否,,,,[]
8098137,B0GCM3ZQN2,否,,,,[]
8098185,B0G1LS9ZNQ,是,足洗いソープ,48.38,4922,"[""https://m.media-amazon.com/images/I/61RUlixgvRL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51U5qFjDPOL._AC_SY879_.jpg"", ""https://m.media-amazon.com/images/I/51H7xEogd6L._AC_SY300_SX300_QL70_ML2_.jpg"", ""https://m.media-amazon.com/images/I/61nCZ+E62fL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51889LMACwL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51yo6xwM58L._AC_SY300_SX300_QL70_ML2_.jpg"", ""https://m.media-amazon.com/images/I/71T4vqXX6mL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/71M5o1A+VHL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/613x3JYvukL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51mSZ819hcL._AC_SX679_.jpg""]"
8098185,B0G1LS9ZNQ,是,足湯 バケツ,22.85,9407,"[""https://m.media-amazon.com/images/I/510vZWZ57ZL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61X5WnQqtGL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61KiGV18p1L._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/41GPAzEDOCL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51lJGdtBkwL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51hbqvDAkSL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/41cSJ3X35WL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51xGsz0SmAL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51vnsw9RYLL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51RXlQnBwoL._AC_SX679_.jpg""]"
8098185,B0G1LS9ZNQ,是,足湯,16.38,13137,"[""https://m.media-amazon.com/images/I/41Ria0-RDBL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61u3uo81uRL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/71yyGTe0wuL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/81MffATn8VL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51v-8mgmQKL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51lJGdtBkwL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/614G9zIJHUL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/41GPAzEDOCL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61X5WnQqtGL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51Lz7cY6WML._AC_SX679_.jpg""]"
8098185,B0G1LS9ZNQ,是,フットバス,12.39,5474,"[""https://m.media-amazon.com/images/I/41Ria0-RDBL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/614G9zIJHUL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/71yyGTe0wuL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/512h4au3jAL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61F7CYgPgUL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51v-8mgmQKL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61i8-5ypLvL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/81MffATn8VL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61X5WnQqtGL._AC_SX679_.jpg""]"
8098185,B0G1LS9ZNQ,是,足湯バケツ,,2645,"[""https://m.media-amazon.com/images/I/510vZWZ57ZL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61X5WnQqtGL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/41GPAzEDOCL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61KiGV18p1L._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51lJGdtBkwL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/41cSJ3X35WL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51xGsz0SmAL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51RXlQnBwoL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/61sEYSl+uTL._AC_SX679_.jpg"", ""https://m.media-amazon.com/images/I/51hbqvDAkSL._AC_SX679_.jpg""]"
